Date,Day,StartTime,EndTime,Hours,Location,Type,Event
2025-09-06,Saturday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Wilmette Mite 2
2025-09-06,Saturday,12:50 PM,2:00 PM,1.167,NSIA Main Rink,Practice,Squirt Prospect 1
2025-09-06,Saturday,2:10 PM,3:20 PM,1.167,NSIA Main Rink,Practice,Squirt Prospects 3
2025-09-06,Saturday,3:30 PM,4:40 PM,1.167,NSIA Main Rink,Practice,Squirt Prospects 2
2025-09-06,Saturday,4:50 PM,6:00 PM,1.167,NSIA Main Rink,Practice,Squirt Minor
2025-09-07,Sunday,8:00 AM,9:00 AM,1.0,NSIA Main Rink,Practice,Mite 5 Minor
2025-09-07,Sunday,9:10 AM,10:10 AM,1.0,NSIA Main Rink,Practice,Mite 1
2025-09-07,Sunday,10:20 AM,11:20 AM,1.0,NSIA Main Rink,Practice,Pee Wee Prospects 2
2025-09-13,Saturday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 2 vs Northbrook Bluehawks
2025-09-13,Saturday,10:40 AM,11:40 AM,1.0,North Shore Ice Arena,Game,Bantam Prospects 1 vs Northbrook Bluehawks
2025-09-13,Saturday,12:10 PM,1:10 PM,1.0,North Shore Ice Arena,Game,Squirt Major vs Kalamazoo Bombers
2025-09-13,Saturday,1:40 PM,2:40 PM,1.0,NSIA Main Rink,Practice,Pee Wee Prospects 1
2025-09-14,Sunday,2:00 PM,3:00 PM,1.0,North Shore Ice Arena,Game,Mite 4 vs Northbrook Mite 2
2025-09-14,Sunday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Mite 5 Major vs Bulldogs Mite 3
2025-09-14,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,Mite 2 vs Northbrook Mite 1
2025-09-20,Saturday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Mite 3 vs Rockford Mite 1
2025-09-20,Saturday,2:00 PM,3:00 PM,1.0,North Shore Ice Arena,Game,Mite 4 vs Vipers Mite 5
2025-09-20,Saturday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Mite 1 vs Chargers Mite 1
2025-09-20,Saturday,5:00 PM,6:00 PM,1.0,North Shore Ice Arena,Game,Bantam Prospects 1 vs Jets
2025-09-21,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Mite 4 vs Chiefs Mite 2
2025-09-21,Sunday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Squirt Minor vs Knights
2025-09-21,Sunday,11:30 AM,12:30 PM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs STL. Sting
2025-09-27,Saturday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Northbrook Mite 3
2025-09-27,Saturday,9:20 AM,10:20 AM,1.0,North Shore Ice Arena,Game,Mite 1 vs Leafs Mite 1
2025-09-27,Saturday,10:30 AM,11:30 AM,1.0,NSIA Main Rink,Practice,Mite 2
2025-09-28,Sunday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Mite 2 vs Glenview Mite 2
2025-09-28,Sunday,2:00 PM,3:00 PM,1.0,North Shore Ice Arena,Game,Mite 5 Major vs Ice Dogs Mite 4
2025-09-28,Sunday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Squirt Prospects 2 vs Jets
2025-09-28,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,Squirt Prospects 3 vs Jets
2025-10-04,Saturday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Squirt Major vs Hawks
2025-10-04,Saturday,5:00 PM,6:00 PM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 3 vs Jaguars
2025-10-04,Saturday,6:30 PM,7:30 PM,1.0,North Shore Ice Arena,Game,Squirt Major vs VSA
2025-10-05,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Pee Wee Major vs Knights
2025-10-05,Sunday,2:10 PM,3:10 PM,1.0,North Shore Ice Arena,Game,Mite 3 vs Stallions Mite 2
2025-10-12,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Northbrook Dentistry vs Winter Club
2025-10-12,Sunday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Bratschi Plumbing vs Falcons Red
2025-10-12,Sunday,10:20 AM,11:20 AM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs Timberwolves
2025-10-12,Sunday,11:30 AM,12:30 PM,1.0,North Shore Ice Arena,Game,Squirt Prospects 3 vs Leafs
2025-10-12,Sunday,2:00 PM,3:00 PM,1.0,North Shore Ice Arena,Game,Style Big Club vs Vipers 3
2025-10-18,Saturday,12:50 PM,1:50 PM,1.0,NSIA Main Rink,Practice,Northbrook Dentistry
2025-10-18,Saturday,2:00 PM,3:00 PM,1.0,NSIA Main Rink,Practice,Spaulding Ridge
2025-10-19,Sunday,8:00 AM,9:00 AM,1.0,NSIA Main Rink,Practice,Bratschi Plumbing
2025-10-19,Sunday,9:10 AM,10:10 AM,1.0,NSIA Main Rink,Practice,Nels Johnson Tree Experts
2025-10-25,Saturday,8:00 AM,9:00 AM,1.0,NSIA Main Rink,Practice,Bratschi Plumbing/Nels Johnson Tree Experts
2025-10-25,Saturday,9:10 AM,10:30 AM,1.333,NSIA Main Rink,Practice,Mite 3
2025-10-25,Saturday,9:50 AM,11:20 AM,1.5,NSIA Main Rink,Practice,Mite 2
2025-10-25,Saturday,12:10 PM,1:10 PM,1.0,North Shore Ice Arena,Game,Pee Wee Major Blues
2025-10-26,Sunday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Squirt Major vs Team Illinois 2016
2025-10-26,Sunday,2:00 PM,3:00 PM,1.0,NSIA Main Rink,Practice,Pee Wee Prospects 2
2025-10-26,Sunday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Wilmette Mite 5
2025-10-26,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,Mite 1 vs Stallions Mite 1
