Team,Date,Opponent,Type,Location,Time
Varsity 1 Green,Sep 12 2025,Hinsdale Varsity,Practice,NSIA Main,8:15 PM
Varsity 1 Green,Sep 14 2025,St. Ignatius Varsity 1,Regular Season,NSIA Main,5:30 PM
Varsity 1 Green,Oct 9 2025,St. Ignatius Varsity 1,League,NSIA Main,9:00 PM
Varsity 1 Green,Oct 26 2025,Carmel Varsity,League,NSIA Main,5:30 PM
Varsity 1 Green,Nov 2 2025,Glenbrook South Varsity 1,League,NSIA Main,5:30 PM
Varsity 1 Green,Nov 9 2025,St. Viator Varsity 1,League,North Shore Ice Arena,5:30 PM
Varsity 1 Green,Nov 16 2025,Fenwick Varsity,Practice,NSIA Main,5:30 PM
Varsity 1 Green,Dec 7 2025,York Varsity 1,League,NSIA Main,5:30 PM
Varsity 1 Green,Dec 11 2025,Loyola Varsity Gold,League,NSIA Main,7:20 PM
Varsity 1 Green,Jan 11 2026,Carmel Varsity,League,NSIA Main,5:30 PM
Varsity 1 Green,Jan 30 2026,Lake Forest Varsity 1,League,NSIA Main,7:05 PM
Varsity 1 Green,Feb 20 2026,Fenwick Varsity,Playoff,NSIA Main,8:15 PM
Varsity 2 Blue,Oct 16 2025,PREP,Regular Season,North Shore Ice Arena,9:00 PM
Varsity 2 Blue,Dec 5 2025,Highland Park Varsity,Regular Season,North Shore Ice Arena,7:05 PM
Varsity 2 Blue,Dec 14 2025,Rockford Lightning Varsity,Regular Season,North Shore Ice Arena,5:30 PM
Varsity 2 Blue,Jan 10 2026,Deerfield Varsity,Regular Season,North Shore Ice Arena,6:20 PM
Varsity 2 Blue,Feb 5 2026,Notre Dame Varsity,Playoff,North Shore Ice Arena,9:00 PM
Varsity 3 White,Oct 5 2025,Bull Dogs U15,Practice,NSIA Main,5:30 PM
Varsity 3 White,Oct 12 2025,Libertyville Varsity,Practice,NSIA Main,5:30 PM
Varsity 3 White,Oct 19 2025,Fox Valley Varsity,Practice,NSIA Main,7:10 PM
Varsity 3 White,Nov 14 2025,Stevenson Varsity 2,League,NSIA Main,7:05 PM
Varsity 3 White,Feb 12 2026,St. Viator Varsity 2,Playoff,NSIA Main,9:00 PM
Varsity 4 Gray,Oct 17 2025,Spartans,League,NSIA Main,8:15 PM
Varsity 4 Gray,Oct 19 2025,Barrington,League,NSIA Main,5:30 PM
Varsity 4 Gray,Nov 21 2025,Fox Valley Gold Varsity,League,NSIA Main,7:05 PM
Varsity 4 Gray,Jan 9 2026,D211 Varsity Black,League,NSIA Main,7:05 PM
JV 1,Sep 7 2025,Notre Dame JV,Practice Game,NSIA Main,5:30 PM
JV 1,Nov 2 2025,Glenbrook South Varsity,League Game,NSIA Main,7:20 PM
JV 1,Nov 9 2025,St. Viator JV,League Game,North Shore Ice Arena,7:20 PM
JV 1,Nov 23 2025,Chicago Blues 15U Central States,Practice Game,NSIA Main,7:10 PM
JV 1,Dec 7 2025,York JV,League Game,NSIA Main,7:20 PM
JV 1,Dec 12 2025,Lake Forest JV,League Game,NSIA Main,7:05 PM
JV 1,Feb 27 2026,OPRF JV,Playoff,NSIA Main,8:15 PM
JV 2,Sep 21 2025,Lincolnway JV,League,NSIA Main,5:30 PM
JV 2,Oct 24 2025,BGHW JV,League,NSIA Main,8:15 PM
JV 2,Jan 23 2026,Lake Forest JV 2,Practice,NSIA Main,7:05 PM
JV 2,Feb 13 2026,Chicago Central JV,League,NSIA Main,8:15 PM
